,Word,Start_time_combined,End_time_combined,Log_Freq_HAL,WordRate,lex_surprisal_bits,pos_surprisal_bits,phoneme_surprisal_bits
439,what,193.079977,193.219977,14.098,1,2.35,,2.6
440,his,193.219977,193.429977,13.644,1,5.17,14.19,2.03
441,mother,193.429977,193.719977,10.648,1,6.76,1.12,7.11
442,and,193.719977,193.829977,16.187,1,5.58,,8.05
443,father,193.829977,194.199977,10.546,1,1.53,,2.12
444,would,194.199977,194.359977,14.061,1,3.25,,2.1
445,say,194.359977,194.759977,12.792,1,3.03,10.22,4.34
446,he,195.759977,195.909977,13.98,1,3.3,5.04,3.4
447,fingered,195.909977,196.349977,6.664,1,19.26,8.09,11.49
448,the,196.349977,196.459977,16.955,1,1.08,0.28,1.41
449,two,196.459977,196.649977,13.031,1,9.43,12.85,5.7
450,nickels,196.649977,197.159977,5.403,1,13.98,7.85,9.46
451,in,197.159977,197.259977,15.897,1,4.5,5.65,6.04
452,his,197.259977,197.489977,13.644,1,1.21,,1.54
453,pocket,197.489977,197.999977,9.284,1,3.41,0.15,3.75
454,that,199.299977,199.579977,15.476,1,7.11,11.4,4.72
455,was,199.579977,199.759977,14.556,1,4.75,2.83,3.96
456,it,199.759977,200.119977,15.365,1,7.78,2.37,7.02
457,he,200.579977,200.769977,13.98,1,2.49,3.82,2.87
458,would,200.769977,200.939977,14.061,1,7.6,,4.73
459,use,200.939977,201.389977,13.426,1,8.78,14.93,12.4
460,one,201.389977,201.589977,14.172,1,6,11.2,8
461,of,201.589977,201.649977,16.214,1,1.73,0.78,2.17
462,the,201.649977,201.789977,16.955,1,2.25,2.21,0.41
463,nickels,201.789977,202.229977,5.403,1,1.13,10.4,7.95
464,to,202.229977,202.319977,16.354,1,1.46,,2.07
465,phone,202.319977,202.649977,11.861,1,14.65,9.68,6.79
466,his,202.649977,202.829977,13.644,1,2.34,0.68,2.29
467,mother,202.829977,203.289977,10.648,1,0.71,,0.8
468,come,204.639977,204.849977,12.355,1,12.24,7.95,11.92
469,on,204.849977,205.199977,15.079,1,3.62,12.34,5.2
470,ribsy,205.199977,205.859977,0,1,30.91,,0
471,come,206.499977,206.689977,12.355,1,9.24,4.05,7.25
472,on,206.689977,206.909977,15.079,1,0.22,,0.32
473,ribs,206.909977,207.389977,7.522,1,8.55,4.72,5.7
474,old,207.389977,207.569977,12.381,1,10.72,2.92,10.3
475,boy,207.569977,208.089977,10.665,1,5.84,0.51,5.73
476,i'm,208.779977,208.999977,0,1,9.24,3.45,7.16
477,going,208.999977,209.159977,12.631,1,3.79,5.07,3.96
478,to,209.159977,209.209977,16.354,1,0.5,5.97,0.72
479,call,209.209977,209.409977,12.397,1,5.41,1.54,5.23
480,you,209.409977,209.649977,15.431,1,2.24,5.84,2.52
481,ribsy,209.649977,210.259977,0,1,10.96,2.83,0
482,because,210.509977,210.849977,13.129,1,7.73,7.96,6.43
483,you're,210.849977,210.959977,12.328,1,3.56,8.61,2.71
484,so,210.959977,211.209977,14.048,1,4.31,3.8,4.34
485,thin,211.209977,211.759977,9.565,1,5.22,16.96,7.14
486,the,212.939977,213.039977,16.955,1,6.49,10.7,6.65
487,dog,213.039977,213.369977,10.974,1,2.2,8.87,2.73
488,trotted,213.369977,213.699977,5.442,1,12.51,5.76,7.78
489,after,213.699977,213.969977,12.934,1,8.08,,10.39
490,the,213.969977,214.049977,16.955,1,3.27,,4.33
491,boy,214.049977,214.299977,10.665,1,7.69,11.76,6.58
492,to,214.299977,214.449977,16.354,1,7.31,6.9,7.99
493,the,214.449977,214.529977,16.955,1,2.71,14.73,3.86
494,telephone,214.529977,215.109977,10.583,1,12.42,6.72,8.06
495,booth,215.109977,215.469977,8.404,1,7.51,,5.45
496,in,215.519977,215.619977,15.897,1,6.51,4.49,6.87
497,the,215.619977,215.689977,16.955,1,1.23,16.18,1.71
498,corner,215.689977,216.129977,10.047,1,4.64,12.04,4.21
499,of,216.129977,216.199977,16.214,1,2.48,,2.83
500,the,216.199977,216.329977,16.955,1,0.38,6.53,0.53
501,drugstore,216.329977,216.969977,5.82,1,15.68,,8.46
502,henry,217.859977,218.249977,0,1,5.39,17.21,4.42
503,shoved,218.249977,218.619977,7.525,1,11.47,6.64,10.01
504,him,218.619977,218.729977,12.818,1,4.24,7.62,3.36
505,into,218.729977,218.929977,13.242,1,4.18,1.04,4.04
506,the,218.929977,219.019977,16.955,1,0.49,,0.7
507,booth,219.019977,219.399977,8.404,1,5.96,0.52,3.4
508,and,219.459977,219.539977,16.187,1,2.29,4.59,3.06
509,shut,219.539977,219.769977,9.888,1,9.02,,8.37
510,the,219.769977,219.849977,16.955,1,0.5,3.71,0.71
511,door,219.849977,220.249977,10.893,1,0.71,0.05,0.94
512,he,221.159977,221.339977,13.98,1,2.96,3.02,3.76
513,had,221.339977,221.489977,13.532,1,5.72,9.4,6.77
514,never,221.489977,221.769977,12.622,1,4.13,9.36,4.28
515,used,221.769977,222.219977,12.809,1,5.53,,7.9
516,a,222.219977,222.259977,16.177,1,1.34,7.03,1.84
517,pay,222.259977,222.559977,11.804,1,12.14,14.21,6.33
518,telephone,222.559977,223.169977,10.583,1,5.74,,8.08
519,before,223.169977,223.689977,12.751,1,1.82,,2.38
520,he,224.439977,224.639977,13.98,1,2.17,9.25,2.52
521,had,224.639977,224.799977,13.532,1,3.61,11.79,4.76
522,to,224.799977,224.869977,16.354,1,4.61,5.08,5.22
523,put,224.869977,225.039977,12.32,1,6.3,9.18,5.71
524,the,225.039977,225.129977,16.955,1,2.61,,3.61
525,big,225.129977,225.689977,12.093,1,7.91,,5.97
526,thick,225.689977,226.059977,9.344,1,9.02,0.61,10.28
527,telephone,226.059977,226.639977,10.583,1,8.85,0.24,6.95
528,book,226.639977,226.859977,12.16,1,7.18,14.1,5.52
529,on,226.859977,227.019977,15.079,1,2.38,5.83,3.42
530,the,227.019977,227.059977,16.955,1,1,,1.39
531,floor,227.059977,227.649977,10.481,1,3.94,,4.82
532,and,227.879977,227.999977,16.187,1,2.78,6.5,3.09
533,stand,227.999977,228.359977,10.794,1,8.16,,5.55
534,on,228.359977,228.569977,15.079,1,3.38,8.01,4.88
535,tiptoe,228.569977,228.989977,5.407,1,15.13,5.4,5.74
536,on,228.989977,229.249977,15.079,1,5.72,2.76,8.13
537,it,229.249977,229.449977,15.365,1,4.55,8.73,6.27
538,to,229.519977,229.659977,16.354,1,5.41,15.4,6.5
539,reach,229.659977,229.929977,10.439,1,7.92,2.8,7.83
540,the,229.929977,230.009977,16.955,1,1.23,10.48,1.71
541,mouthpiece,230.009977,230.729977,6.724,1,20.2,8.43,7.5
542,he,231.789977,231.949977,13.98,1,3.09,3.37,2.45
543,dropped,231.949977,232.259977,9.866,1,8.36,6.79,8.46
544,his,232.259977,232.429977,13.644,1,2.94,5.66,3.74
545,nickel,232.429977,232.789977,7.593,1,10.88,12.84,7.79
546,into,232.789977,233.039977,13.242,1,4.39,13.83,4.42
547,the,233.039977,233.129977,16.955,1,0.37,,0.51
548,coin,233.129977,233.469977,8.76,1,8.88,0.2,5.53
549,box,233.469977,233.969977,12.053,1,3.66,4.85,3.99
550,and,234.139977,234.319977,16.187,1,2.71,6.12,3.29
551,dialed,234.319977,234.679977,6.919,1,10.69,5.04,7.76
552,the,234.679977,234.819977,16.955,1,1.76,3.89,2.45
553,number,234.819977,235.279977,12.553,1,1.58,12.25,2.02
554,hello,237.699932,238.429932,10.637,1,13.48,,3.26
555,mom,238.879932,239.239932,9.667,1,8.94,3.03,6.82
556,why,240.329932,240.649932,12.798,1,9.14,9.23,6.48
557,henry,240.649932,241.459932,0,1,13.54,13.9,7.54
558,his,242.299932,242.519932,13.644,1,7.75,3.81,4.86
559,mother,242.519932,242.909932,10.648,1,2.97,,3.37
560,sounded,242.909932,243.309932,8.904,1,12.43,6.53,5.03
561,surprised,243.309932,244.069932,10.015,1,8.32,15.86,1.99
562,where,244.479932,245.039932,13.027,1,10.86,5.14,5.5
563,are,245.039932,245.339932,14.909,1,4.86,13.29,6.59
564,you,245.339932,245.709932,15.431,1,0.42,8.77,0.45
565,at,246.679932,246.819932,14.498,1,6.38,3.15,8.4
566,the,246.819932,246.939932,16.955,1,4.3,8.13,4.3
567,drugstore,246.939932,247.509932,5.82,1,8.09,16.93,4.68
568,near,247.509932,247.779932,11.265,1,11.04,2.24,8.17
569,the,247.779932,247.879932,16.955,1,1.2,5.88,1.64
570,gym,247.879932,248.299932,8.174,1,10.6,,11.57
571,ribs,249.389932,249.909932,7.522,1,13.8,3.28,8.9
572,began,249.909932,250.239932,10.609,1,9.87,5.84,5.76
573,to,250.239932,250.309932,16.354,1,0.24,,0.33
574,scratch,250.309932,251.069932,8.996,1,7.5,0.61,4.17
575,thump,251.489932,251.899932,6.652,1,9.74,8.45,13.91
576,thump,251.899932,252.269932,6.652,1,0.43,12.78,
577,thump,252.269932,252.659932,6.652,1,0.6,15.82,12.7
578,inside,253.469932,253.929932,11.063,1,13.53,1.87,9.25
579,the,253.929932,253.969932,16.955,1,0.8,5.62,1.09
580,telephone,253.969932,254.569932,10.583,1,8.81,0.13,7.72
581,booth,254.569932,254.899932,8.404,1,0.86,0.77,0.54
582,the,254.959932,255.119932,16.955,1,4.78,6.12,5.39
583,thumps,255.119932,255.569932,4.443,1,17.33,,11.01
584,sounded,255.569932,256.039932,8.904,1,7.4,6.93,4.46
585,loud,256.039932,256.589932,9.387,1,7.14,8.79,1.75
586,and,256.589932,256.779932,16.187,1,2.88,6.21,3.72
587,hollow,256.779932,257.409932,8.406,1,11.06,5.68,5.11
588,for,258.259932,258.539932,15.417,1,7.37,6.64,8.41
589,goodness,258.539932,259.279932,8.29,1,16.08,14.28,12.78
590,sake,259.279932,259.799932,9.346,1,0.33,,0.48
591,henry,259.799932,260.389932,0,1,7.07,7.62,4.45
592,what's,260.749932,261.029932,11.186,1,11.16,5.36,5
593,that,261.029932,261.209932,15.476,1,4.63,11.46,3.15
594,noise,261.209932,261.419932,9.943,1,6.67,2.85,7.51
595,his,262.429932,262.629932,13.644,1,9.47,1.85,6.48
596,mother,262.629932,262.859932,10.648,1,0.24,,0.18
597,demanded,262.859932,263.319932,8.25,1,10.35,,8.61
598,ribs,264.109932,264.599932,7.522,1,9.51,5.19,9.44
599,began,264.599932,264.909932,10.609,1,3.77,5.32,4.07
600,to,264.909932,264.979932,16.354,1,0.06,,0.08
601,whimper,264.979932,265.529932,6.192,1,9.66,4.93,9.57
602,and,266.119932,266.409932,16.187,1,2.1,5.39,2.71
603,then,266.409932,266.969932,13.467,1,6.2,1.13,6.56
604,to,267.009932,267.139932,16.354,1,7.62,8.02,6.71
605,howl,267.139932,267.829932,8.079,1,11.57,1.79,5.78
606,henry,268.549932,269.129932,0,1,9.92,4.11,3.63
607,mrs,269.639932,269.979932,0,1,18.94,6.43,6.59
608,huggins,269.979932,270.329932,0,1,17.87,11.65,6.44
609,shouted,270.329932,270.799932,7.687,1,12.96,3.45,8.73
610,are,271.049932,271.159932,14.909,1,10.89,10.22,11.03
611,you,271.159932,271.379932,15.431,1,0.45,11.87,0.56
612,all,271.379932,271.559932,14.346,1,5.85,5.07,7.11
613,right,271.559932,272.209932,12.87,1,0.73,4.95,0.94
614,yes,272.919932,273.599932,12.191,1,10.38,7.95,5.65
615,i'm,273.649932,273.879932,0,1,6.79,1.77,5.7
616,all,273.879932,274.259932,14.346,1,4.82,3.55,6.42
617,right,274.259932,275.169932,12.87,1,0.03,0.02,0.03
618,henry,275.579932,275.919932,0,1,5.68,5.11,5.08
619,shouted,275.919932,276.299932,7.687,1,13.15,1.9,8.67
620,back,276.299932,276.739932,12.882,1,7.58,4.81,7.28
621,he,277.239932,277.459932,13.98,1,4.06,5.63,4.2
622,never,277.459932,278.019932,12.622,1,9.59,,8.86
623,could,278.019932,278.169932,13.208,1,6.68,,5.56
624,understand,278.169932,278.879932,11.586,1,5.17,9.23,6.68
625,why,278.879932,279.299932,12.798,1,2.28,1.28,1.78
626,his,279.299932,279.539932,13.644,1,2.43,8.41,1.46
627,mother,279.539932,279.899932,10.648,1,0.27,,0.21
628,always,279.929932,280.389932,12.21,1,7.26,1.18,9.46
629,thought,280.389932,280.719932,12.072,1,7.98,13.82,10.24
630,something,280.719932,281.169932,12.713,1,7.75,0.33,8.17
631,had,281.169932,281.339932,13.532,1,6.21,10.29,7.27
632,happened,281.339932,281.709932,10.946,1,1.71,10.19,2.4
633,to,281.709932,281.789932,16.354,1,2.63,5.86,3.71
634,him,281.789932,282.129932,12.818,1,1,0.05,0.58
635,when,282.569932,282.799932,13.758,1,4.58,8.89,5.09
636,nothing,282.799932,283.309932,11.988,1,10.77,14,11.6
637,ever,283.309932,283.599932,12.066,1,4.7,9.24,5.27
638,did,283.599932,284.049932,12.855,1,3.71,,5.31
639,that's,285.009932,285.329932,12.375,1,13.39,8.41,6.66
640,just,285.329932,285.679932,13.836,1,6.64,1.72,9.59
641,ribsy,285.679932,286.479932,0,1,15.63,5.08,0
642,ribsy,287.489932,288.389932,0,1,6.78,6.28,0
643,his,288.979932,289.189932,13.644,1,5.71,2.97,4.67
644,mother,289.189932,289.509932,10.648,1,0.36,,0.31
645,was,289.509932,289.709932,14.556,1,4.02,5.37,4.69
646,exasperated,289.709932,290.659932,5.749,1,13.89,3.99,7.76
647,henry,291.469932,292.229932,0,1,9.12,7.42,2.84
648,will,292.579932,292.739932,14.35,1,9.86,2.43,5.14
649,you,292.739932,292.979932,15.431,1,0.9,8.4,1.17
650,please,292.979932,293.549932,13.272,1,4.67,6.94,6.14
651,tell,293.549932,293.829932,12.212,1,3.15,1.19,4.03
652,me,293.829932,294.129932,14.081,1,0.96,7.18,1.14
653,what,294.319932,294.719932,14.098,1,2.64,9.97,2.49
654,is,294.719932,294.909932,15.683,1,4.8,2.11,5.92
655,going,294.909932,295.279932,12.631,1,2.47,,3.56
656,on,295.279932,295.769932,15.079,1,0.1,16.74,0.14
657,i'm,299.373923,299.643923,0,1,7.39,1.79,6.75
658,trying,299.643923,300.313923,11.983,1,6.33,6.37,6.01
659,to,300.313923,300.893923,16.354,1,0.27,16.13,0.39
660,said,301.313923,301.603923,12.772,1,15.65,0.31,5.15
661,henry,301.603923,302.123923,0,1,7.5,7.41,4.72
662,ribsy,302.783923,303.483923,0,1,11.38,1.99,0
663,howled,303.483923,304.073923,5.609,1,18.37,5.08,4.47
664,louder,304.073923,304.703923,7.755,1,10.55,7.26,8.01
665,people,305.703923,306.073923,13.552,1,11.15,10.05,12.91
666,were,306.073923,306.263923,13.406,1,3.87,1.62,4.33
667,gathering,306.263923,306.833923,9.06,1,11.75,10.82,4.98
668,around,306.833923,307.103923,12.499,1,2.94,4.73,4.24
669,the,307.103923,307.173923,16.955,1,1.63,12.38,2.15
670,phone,307.173923,307.513923,11.861,1,3,6.84,4.01
671,booth,307.513923,307.803923,8.404,1,0.33,0.19,0.4
672,to,307.803923,307.983923,16.354,1,6.06,10.29,7.13
673,see,307.983923,308.263923,13.272,1,3.67,0.64,3.92
674,what,308.263923,308.433923,14.098,1,1.7,11.1,2.03
675,was,308.433923,308.573923,14.556,1,1.66,,2.24
676,going,308.573923,308.903923,12.631,1,0.47,,0.67
677,on,308.903923,309.283923,15.079,1,0.06,,0.08
678,mother,310.373923,310.973923,10.648,1,11.48,5.96,7.49
679,i've,311.393923,311.613923,0,1,11.07,2.35,7.02
680,found,311.613923,312.053923,12.206,1,8.9,2.85,10.99
681,a,312.053923,312.113923,16.177,1,3.66,,5.07
682,dog,312.113923,312.573923,10.974,1,8.97,13.28,6.85
683,i,313.423923,313.563923,0,1,6.51,6.7,8.08
684,sure,313.563923,313.933923,12.47,1,12.21,2.74,14.28
685,wish,313.933923,314.243923,11.216,1,6.46,3.15,4.71
686,i,314.243923,314.353923,0,1,0.6,,0.73
687,could,314.353923,314.603923,13.208,1,1.65,4.71,2.34
688,keep,314.603923,314.883923,12.122,1,7.47,7.86,6.19
689,him,314.883923,315.213923,12.818,1,4.81,10.2,5.31
690,he's,315.563923,315.773923,11.376,1,12,6.53,6.45
691,a,315.773923,315.823923,16.177,1,3.81,6.49,5.05
692,good,315.823923,316.143923,13.352,1,3.46,14.2,4.39
693,dog,316.143923,316.503923,10.974,1,2.1,8.25,2.93
694,and,316.503923,316.753923,16.187,1,5.1,1.17,7.02
695,i'd,316.753923,316.923923,0,1,8.21,0.76,3.3
696,feed,316.923923,317.263923,9.908,1,11.34,4.53,10.98
697,him,317.263923,317.413923,12.818,1,0.34,,0.41
698,and,317.413923,317.593923,16.187,1,4.39,6.53,4.68
699,wash,317.593923,317.973923,9.058,1,10.78,3.15,6.02
700,him,317.973923,318.103923,12.818,1,0.9,8.46,0.42
701,and,318.103923,318.303923,16.187,1,2.3,2.43,3.04
702,everything,318.303923,318.953923,11.631,1,8.58,9.72,9.09
703,please,319.743923,320.593923,13.272,1,10.36,4.31,11.65
704,mom,320.593923,321.373923,9.667,1,8.2,4.06,7.25
705,i,322.353923,322.623923,0,1,2.54,8.62,3.48
706,don't,322.623923,323.073923,13.691,1,4.49,0.82,6.23
707,know,323.073923,323.483923,13.592,1,1.99,,2.65
708,dear,323.483923,324.163923,10.294,1,14.18,8.26,10.63
709,his,324.453923,324.673923,13.644,1,6.32,2.16,3.75
710,mother,324.673923,324.943923,10.648,1,0.31,,0.19
711,said,324.943923,325.373923,12.772,1,3.79,7.09,4.36
712,you'll,325.873923,326.203923,11.389,1,12.64,2.03,6.69
713,have,326.203923,326.553923,14.915,1,3.77,5.05,5.01
714,to,326.553923,326.633923,16.354,1,0.38,0.43,0.54
715,ask,326.633923,327.023923,11.839,1,5.33,1.43,7.38
716,your,327.023923,327.123923,14.353,1,3.39,12.37,4.6
717,father,327.123923,327.763923,10.546,1,4.99,14.2,6.29
718,mom,328.433923,329.423923,9.667,1,8.91,8.06,8.42
719,henry,329.823923,330.183923,0,1,6.85,3.21,3.22
720,wailed,330.183923,330.593923,5.438,1,20.41,2.23,5.39
721,that's,331.133923,331.373923,12.375,1,10.46,10.01,6.81
722,what,331.373923,331.543923,14.098,1,3.78,7.07,4.39
723,you,331.543923,331.793923,15.431,1,3.72,15.03,4.45
724,always,331.793923,332.483923,12.21,1,7.58,0.35,9.36
725,say,332.483923,332.973923,12.792,1,2.22,,2.55
726,henry,334.213923,334.553923,0,1,2.43,4.67,2.44
727,was,334.553923,334.743923,14.556,1,5.23,6.55,5.42
728,tired,334.743923,335.223923,9.856,1,9.48,8.27,5.61
729,of,335.223923,335.303923,16.214,1,1.38,12.65,1.51
730,standing,335.303923,335.753923,10.092,1,8.87,2.06,6.22
731,on,335.753923,335.943923,15.079,1,1.74,,2.51
732,tiptoe,335.943923,336.483923,5.407,1,1.94,1.13,2.44
733,and,336.483923,336.683923,16.187,1,3.24,4.95,4.39
734,the,336.683923,336.773923,16.955,1,5.72,5.49,5.83
735,phone,336.773923,337.123923,11.861,1,2.81,9.47,3.66
736,booth,337.123923,337.403923,8.404,1,1.64,1.92,2.03
737,was,337.403923,337.563923,14.556,1,2.87,3.76,3.48
738,getting,337.563923,337.853923,11.986,1,6.11,2.92,7.18
739,warm,337.853923,338.323923,9.953,1,8.91,6.43,7.59
740,mom,339.023923,339.613923,9.667,1,8.83,7.96,8.66
741,please,339.953923,340.473923,13.272,1,8.34,8.57,10.35
742,say,340.473923,340.623923,12.792,1,6.01,6.16,5.58
743,yes,340.623923,341.123923,12.191,1,4.98,11.72,4.53
744,and,341.333923,341.433923,16.187,1,6.82,,9.41
745,i'll,341.433923,341.543923,0,1,5.34,9.58,4.83
746,never,341.543923,342.023923,12.622,1,8.58,14.69,10.28
747,ask,342.023923,342.313923,11.839,1,5.91,4.91,7.98
748,for,342.313923,342.643923,15.417,1,3.75,,5.41
749,another,342.883923,343.433923,12.565,1,6.48,12.82,4.39
750,thing,343.433923,343.943923,12.403,1,7.52,0.54,9.41
751,as,343.943923,344.073923,14.787,1,9.15,9.81,10.28
752,long,344.073923,344.563923,12.521,1,4.88,11.3,6.97
753,as,344.563923,344.693923,14.787,1,0,21.67,0.01
754,i,344.693923,344.813923,0,1,3.55,,4.36
755,live,344.813923,345.403923,11.763,1,7.01,,8.29
756,well,347.223923,347.793923,13.222,1,6.92,11.83,6.71
757,all,349.033923,349.343923,14.346,1,8.79,4.56,9.27
758,right,349.343923,349.753923,12.87,1,2.17,10.01,3.07
759,henry,349.753923,350.293923,0,1,2.82,8.94,3.3
760,i,351.143923,351.243923,0,1,7.01,17.25,9.37
761,guess,351.243923,351.503923,11.496,1,7.14,6.39,8.03
762,there,351.503923,351.653923,14.088,1,6.67,6.23,4.95
763,isn't,351.653923,352.043923,11.89,1,7,11.26,3.62
764,any,352.043923,352.253923,13.945,1,3.32,7.79,2.99
765,reason,352.253923,352.783923,11.803,1,5.08,8.48,5.27
766,why,352.783923,352.963923,12.798,1,2.39,12.43,3.32
767,you,352.963923,353.183923,15.431,1,2.88,12.07,2.87
768,shouldn't,353.183923,353.663923,10.313,1,4.84,6.35,3.54
769,have,353.663923,353.913923,14.915,1,3.91,6.09,5.02
770,a,353.913923,353.963923,16.177,1,3.32,3.68,4.6
771,dog,353.963923,354.403923,10.974,1,2.62,18.18,3.41
772,but,355.143923,355.323923,14.571,1,4.19,5.35,5.48
773,you'll,355.323923,355.443923,11.389,1,9.16,1.1,4.01
774,have,355.443923,355.803923,14.915,1,2.08,1.25,2.98
775,to,355.803923,355.913923,16.354,1,0.11,0.12,0.16
776,bring,355.913923,356.193923,10.942,1,9.84,,6.86
777,him,356.193923,356.373923,12.818,1,1.56,12.53,1.99
778,home,356.373923,356.683923,12.157,1,3.05,7.69,3.82
779,on,356.683923,356.833923,15.079,1,8.56,4.1,11.74
780,the,356.833923,356.903923,16.955,1,3.68,,4.59
781,bus,356.903923,357.473923,10.485,1,8.52,,7.13
782,your,357.843923,357.973923,14.353,1,8.21,9.95,8.18
783,father,357.973923,358.493923,10.546,1,4.05,,5.19
784,has,358.493923,358.693923,13.978,1,5.38,5,6.25
785,the,358.693923,358.753923,16.955,1,6.69,14.24,8.77
786,car,358.753923,359.053923,11.365,1,6.33,12.32,5.6
787,today,359.053923,359.493923,11.548,1,10.85,8.94,6.54
788,and,359.693923,359.823923,16.187,1,2.93,5.9,4.12
789,i,359.823923,359.983923,0,1,3.37,10.73,4.53
790,can't,359.983923,360.273923,12.528,1,5.19,0.47,6.28
791,come,360.273923,360.483923,12.355,1,6.97,,6.65
792,after,360.483923,360.763923,12.934,1,8.68,1.8,10.32
793,you,360.763923,361.103923,15.431,1,1.13,,1.39
794,can,361.833923,362.063923,14.301,1,7.05,6.35,8.61
795,you,362.063923,362.163923,15.431,1,1.63,1.2,2.28
796,manage,362.163923,362.843923,9.803,1,14.41,2.74,6.79
797,sure,363.393923,364.063923,12.47,1,15.53,,
798,easy,364.393923,365.133923,11.449,1,13.89,,15.06
799,and,366.123923,366.323923,16.187,1,6.23,4.34,7.98
800,henry,366.323923,367.043923,0,1,9.77,5.61,6.5
801,please,367.403923,367.963923,13.272,1,9.88,8.98,8.88
802,don't,367.963923,368.223923,13.691,1,4.68,4.61,5.77
803,be,368.223923,368.353923,14.945,1,5.08,5.55,5.99
804,late,368.353923,368.753923,10.916,1,7.85,,6.97
805,it,369.193923,369.333923,15.365,1,7.32,5.22,7.04
806,looks,369.333923,369.793923,11.17,1,7.31,,10.54
807,as,369.793923,369.933923,14.787,1,6.64,10.17,9.49
808,if,369.933923,370.083923,14.653,1,0.89,,1.28
809,it,370.083923,370.233923,15.365,1,4.24,0.24,5.74
810,might,370.233923,370.463923,12.534,1,5.48,4.26,7.06
811,rain,370.463923,371.053923,9.787,1,5.9,6.97,8.34
812,all,371.773923,372.003923,14.346,1,5.84,3.6,6.26
813,right,372.003923,372.243923,12.87,1,2.58,,3.65
814,mom,372.243923,372.723923,9.667,1,6.48,1.99,5.9
815,thump,373.093923,373.393923,6.652,1,20.53,2.84,10.97
816,thump,373.393923,373.663923,6.652,1,3.32,12.81,12.05
817,thump,373.663923,373.913923,6.652,1,0.61,11.21,15.05
818,henry,374.813923,375.343923,0,1,6,16.59,7.28
819,what's,375.883923,376.413923,11.186,1,9.78,2.44,5.49
820,that,376.413923,376.763923,15.476,1,5.13,2.84,3.5
821,thumping,376.763923,377.233923,5.883,1,8.98,7.69,9.63
822,noise,377.233923,377.823923,9.943,1,3.58,8.32,4.85
823,it's,378.493923,378.693923,13.409,1,6.63,2.6,5.8
824,my,378.693923,378.863923,14.386,1,5.29,9.05,6.59
825,dog,378.863923,379.163923,10.974,1,3.36,8.71,3.36
826,ribsy,379.163923,379.753923,0,1,17.37,16.61,0
827,he's,380.233923,380.543923,11.376,1,6.7,5.56,4.3
828,scratching,380.543923,380.973923,7.483,1,9.54,7.06,4.89
829,a,380.973923,381.013923,16.177,1,6.68,4.47,4.29
830,flea,381.013923,381.413923,8.144,1,10.47,0.5,5.63
831,oh,382.523923,383.023923,11.64,1,10.43,2.54,11.95
832,henry,383.023923,383.823923,0,1,9.43,4.4,5.4
833,mrs,384.253923,384.593923,0,1,15.35,1.78,6.13
834,huggins,384.593923,385.023923,0,1,18.05,7.1,5.96
835,moaned,385.023923,385.523923,7.809,1,18.61,18.19,7.07
836,couldn't,386.153923,386.683923,11.068,1,15.4,11.75,9.54
837,you,386.683923,386.793923,15.431,1,4.57,12.42,6.48
838,have,386.793923,386.983923,14.915,1,7.26,12.42,2.85
839,found,386.983923,387.463923,12.206,1,8.86,7.1,10.25
840,a,387.463923,387.513923,16.177,1,2.35,1.46,3.15
841,dog,387.513923,387.963923,10.974,1,2.62,0.62,3.58
842,without,387.963923,388.613923,12.446,1,8.52,3.05,6.26
843,fleas,388.613923,389.473923,7.892,1,12.33,9.52,8.91
844,henry,390.373923,390.733923,0,1,6.03,7.48,5.87
845,thought,390.733923,390.983923,12.072,1,8.42,18.28,9.33
846,that,390.983923,391.123923,15.476,1,4.7,8.36,4.81
847,was,391.123923,391.253923,14.556,1,1.86,12.62,2.26
848,a,391.253923,391.293923,16.177,1,2.52,,3.41
849,good,391.293923,391.573923,13.352,1,2.36,18.75,3.02
850,time,391.573923,391.873923,13.578,1,7,0.05,10.1
851,to,391.873923,391.943923,16.354,1,2.34,3.94,3.25
852,hang,391.943923,392.233923,9.787,1,8.37,5.97,6.55
853,up,392.233923,392.453923,13.744,1,2.45,,3.48
854,come,393.183923,393.383923,12.355,1,14.14,1.77,10.82
855,on,393.383923,393.613923,15.079,1,1.68,9.67,2.37
856,ribs,393.613923,394.203923,7.522,1,18.41,5.61,10.41
857,he,394.353923,394.533923,13.98,1,7.54,,6.2
858,said,394.533923,394.933923,12.772,1,4.92,15.78,5.6
859,we're,395.293923,395.523923,11.066,1,9.73,6.74,5.95
860,going,395.523923,395.833923,12.631,1,2.77,14.55,3.06
861,home,395.833923,396.103923,12.157,1,5.29,12.94,7.58
862,on,396.103923,396.233923,15.079,1,6.89,2.73,9.11
863,the,396.233923,396.313923,16.955,1,1.19,,1.6
864,bus,396.313923,397.013923,10.485,1,1.14,,1.46
865,when,399.419864,399.639864,13.758,1,7.32,8.42,5.77
866,the,399.639864,399.689864,16.955,1,3.79,5.98,4.6
867,big,399.689864,399.969864,12.093,1,10.16,,1.96
868,green,399.969864,400.319864,11.416,1,9.44,12.43,5.73
869,bus,400.319864,400.739864,10.485,1,5.23,11.22,4.42
870,stopped,400.769864,401.159864,10.175,1,5.89,0.48,4.64
871,in,401.159864,401.239864,15.897,1,5.23,3.99,4.31
872,front,401.239864,401.409864,11.263,1,1.15,1.01,1.64
873,of,401.409864,401.499864,16.214,1,0.19,6.58,0.23
874,the,401.499864,401.579864,16.955,1,1.99,,2.72
875,drugstore,401.579864,402.299864,5.82,1,14.89,16.17,7.91
